job_title,count
Data Scientist,143
Data Engineer,132
Data Analyst,97
Machine Learning Engineer,41
Research Scientist,16
Data Science Manager,12
Data Architect,11
Big Data Engineer,8
Machine Learning Scientist,8
Principal Data Scientist,7
AI Scientist,7
Data Science Consultant,7
Director of Data Science,7
Data Analytics Manager,7
ML Engineer,6
Computer Vision Engineer,6
BI Data Analyst,6
Lead Data Engineer,6
Data Engineering Manager,5
Business Data Analyst,5
Head of Data,5
Applied Data Scientist,5
Applied Machine Learning Scientist,4
Head of Data Science,4
Analytics Engineer,4
Data Analytics Engineer,4
Machine Learning Developer,3
Machine Learning Infrastructure Engineer,3
Lead Data Scientist,3
Computer Vision Software Engineer,3
Lead Data Analyst,3
Data Science Engineer,3
Principal Data Engineer,3
Principal Data Analyst,2
ETL Developer,2
Product Data Analyst,2
Director of Data Engineering,2
Financial Data Analyst,2
Cloud Data Engineer,2
Lead Machine Learning Engineer,1
NLP Engineer,1
Head of Machine Learning,1
3D Computer Vision Researcher,1
Data Specialist,1
Staff Data Scientist,1
Big Data Architect,1
Finance Data Analyst,1
Marketing Data Analyst,1
Machine Learning Manager,1
Data Analytics Lead,1
